title,number,score,text
콰이어트 플레이스 2,17583235,9,1편보다 재밌고 3편이 기대되는 2편
히든 피겨스,17583234,10,엄청 재밌어요! 후회 절대 안하실 겁니다! 너무 재밌어서 자막없이 한 번 더 보려고 합니다. 꼭 보세오 후회 안합니다!!
맘마미아!,17583233,8,"그리스 배경에 청량한 느낌, 항상 웃고 있는 배우분들의 표정, 중독성 강한 Ost까지 정말 작품성이 높은 탄탄한 스토리는 아니지만 행복해지고 싶을 때 보는 인생 영화"
마이 캡틴 김대출,17583232,1,배우가 ㅈ같네....
열아홉,17583231,10,손영주 배우의 연기가 참 좋네요 추천합니다
콰이어트 플레이스 2,17583230,10,역시 실망시키지 않았음
가을의 전설,17583229,8,OST가 너무 강렬해서 들을때마다 가슴이 괜히 뭉클해져
스파이럴,17583228,6,잔인하네 쏘우 전작을 안봐서 다행 일단 그것밖에는..
채피,17583227,10,인간의 탐욕과 이기심을 적나라하게 드러낸 명작
발신제한,17583226,7,그냥 한국영화 그 자체 조우진 연기는 볼만했음
미드나이트,17583225,8,보는내내 긴장감 있었어요진기주 위하준 연기대박!
캐리비안의 해적: 낯선 조류,17583224,10,마지막 말이 압권이었음자신이 어떻게 죽을지 몰라야 인생을 사는게 재밌다는게..
발신제한,17583223,6,원작 그대로 따라하고 ㅎ삼성차는 터지고 제네시스는 이쁘게나옴 ㅋ조우진 연기는 딱여기까지인듯
콰이어트 플레이스 2,17583222,7,발암전개가 안타깝지만 3편을 위한 숨고르기라 믿고 싶다
기방도령,17583221,10,개인적으로 너무 좋았습니다!
제8일의 밤,17583220,1,왜 평점은 마이너스가 없나요??..배우들은 대단한거같아요 어떤상황이든 감정이입을 해야하니까ㅠㅠ 이런 ㅈ같은장르의 영화에서도최선을다한 배우들에겐 높이평가합니다한국이아니라 타이완이나ㅠ베트남쪽 사람들데리고 영화만드셧음ㅜ좋겟어요
어른들은 몰라요,17583219,9,배우들 연기나 연출모두 좋았고 사람마다 와닿는 바가 다르겠지만 나한텐 개인적으로 울림이있는 영화였다고 생각한다. 단순히 하니 연기가 궁금해서 봤는데 괜히 먹먹하고 복잡한 생각이 드는....
"그 여름, 가장 차가웠던",17583218,5,편의적인 플래시백이 서사에 걸림돌만 된다.
낫아웃,17583217,6,전력으로 손을 뻗을 수 밖에 없는 간절함.
아저씨,17583216,10,인간의 교감은 말로 설명할 수 없는 것 같다..그게 어떤 관계이든간에 재밌다 원빈 얼굴도..내용도
제8일의 밤,17583215,10,여고생 연기잘함 개소름
맨발의 꿈,17583214,10,시간가는줄 모르고 봤습니다!
미드나이트,17583213,9,명작 추격자도 답답혀 개연성 따지지 말어~~
그녀,17583212,10,"2013년 영화라니...! 개봉할 때 봤을 때보다 훨씬 다층적으로 생각하고 느낄 수 있었다. OS와의 사랑이 납득되는 걸 보니 다양성에 관한 영화이기도 하고, 당연히 사랑과 관계에 관한 영화이기도 하고, 성장에 관한 영화이기도 하다. 미술 디자인이 다시 봐도 곱고,밤인지 새벽인지 경계가 모호한 도심의 시간과 공간 표현도 좋다그리고 무엇보다. Joaquin Phoenix  연기가 너무 좋다.. 조커나 마스터 같은 연기도 좋지만 이런 역도 좀 다시 해줬으면 좋겠다"
괴기맨숀,17583211,10,주인공 연기를 보고 마지막에 눈물이 갑자기 흘렀습니다.연기가 대단하시네요.
이터널 선샤인,17583210,10,"많은 시간을 함께 보내서 서로에 대해 잘 안다는 착각을 하지만, 두 주인공은 마지막까지 서로를 알아주지 못하고 이별하게 된다. 마지막에 테이프를 들으며 진정한 서로 대한 생각을 알게된다. 서로 듣기에 거북한 이야기들 뿐 이지만, 서로 끊지 못했던, 끌릴 수 밖에 없었던, 사랑의 감정으로 또 다시 사랑하게 될거라 생각한다.  우리가 마주했던 사랑은 그럴 운명이었던 것 같다. 그 시절로 돌아가면 나는 누구와 만나고 있을까라는 생각을 하곤 한다. 나는 다시 그 시절로 돌아가도 그때 그사람에게 끌릴 수 밖에 없을 것 같다. 그 사람의 행동, 그 사람의 말들, 그사람의 분위기, 그 모든 것들이 내가 그 사람을 사랑을 하게될 운명으로 만들었다. 다시 두 주인공이 운명처럼 사랑을 시작한더라도 영원하지 않을 수 있다. 하지만 기억을 삭제하는 방법으로 그 끝을 맞이한다면, 영원토록 그 사랑은 끝나지 않을 것이다. 지워진 기억으로 처음 시작하듯 그 사람을 마주한다면 또 다시 운명적으로 사랑에 이끌릴테니까. 그래서 사랑을 잊는다는 것은 불가능하다. 사랑을 기억나지 않도록 깊게 묻어 찾기 어렵게 만들 뿐이다. 완전히 잊는다면 또 다시 그 사람을 사랑하게 될 것임이 틀림없기 때문이다. 그래서 사랑은 소멸 되지 않고 항상 존재하고 있다."
아메리칸 울트라,17583209,4,너구리 사발면을 그런식으로 먹다니....
미드나이트,17583208,1,너무 재밌어요. 다들 꼭 보세요
엠마,17583207,6,명작이 원작이라 어떤 버전의 '엠마'라도 스토리는 살아 있다. 이번 버전은 영상미가 강점이다.
온리 더 브레이브,17583206,10,"포스터만 보면, 뻔한 재난 억지감동 영화로 오해할 수 있는데.. 스토리, 연기, 연출 모두 완벽한 드라마임 시작부터 끝까지 적당한 재미와 몰입 요소를 이어주고 후반 내내 감동 고점을 유지한다 마무리로는 자연/마을/사람을 위해 숭고한 희생을 한 이들의 이야기가 실화라는 것을 알 수 있는 사진들을 보여줌으로 의미있는 삶에 대해서 메시지를 마무리한다"
애프터 어스,17583205,5,쩝 아들교육좀 잘해.. 말 드럽게 안듣잔아
